Connecting to host 192.168.3.2, port 10021
[  6] local 192.168.2.2 port 40290 connected to 192.168.3.2 port 10021
[  6]  75.00-76.00  sec  0.00 Bytes  0.00 bits/sec    0   3.14 MBytes       
[  6]  76.00-77.00  sec  0.00 Bytes  0.00 bits/sec    0   3.14 MBytes       
[  6]  77.00-78.00  sec  0.00 Bytes  0.00 bits/sec    0   3.15 MBytes       
[  6]  78.00-79.00  sec  41.9 MBytes   351 Mbits/sec    0   3.17 MBytes       
[  6]  79.00-80.00  sec  0.00 Bytes  0.00 bits/sec    0   3.20 MBytes       
[  6]  80.00-81.00  sec  0.00 Bytes  0.00 bits/sec    0   3.25 MBytes       
[  6]  81.00-82.00  sec  0.00 Bytes  0.00 bits/sec    0   3.31 MBytes       
[  6]  82.00-83.00  sec  0.00 Bytes  0.00 bits/sec    0   3.40 MBytes       
[  6]  83.00-84.00  sec  0.00 Bytes  0.00 bits/sec    0   3.51 MBytes       
[  6]  84.00-85.00  sec  0.00 Bytes  0.00 bits/sec    0   3.65 MBytes       
[  6]  85.00-86.00  sec  0.00 Bytes  0.00 bits/sec    0   3.81 MBytes       
[  6]  86.00-87.00  sec  0.00 Bytes  0.00 bits/sec    0   4.00 MBytes       
[  6]  87.00-88.00  sec  0.00 Bytes  0.00 bits/sec    0   4.23 MBytes       
[  6]  88.00-89.00  sec  0.00 Bytes  0.00 bits/sec    0   4.49 MBytes       
[  6]  89.00-90.00  sec  0.00 Bytes  0.00 bits/sec    0   4.80 MBytes       
[  6]  90.00-91.00  sec  0.00 Bytes  0.00 bits/sec    0   5.13 MBytes       
[  6]  91.00-92.00  sec  0.00 Bytes  0.00 bits/sec    0   5.51 MBytes       
[  6]  92.00-93.00  sec  0.00 Bytes  0.00 bits/sec    0   5.94 MBytes       
[  6]  93.00-94.00  sec  0.00 Bytes  0.00 bits/sec  108   6.03 MBytes       
[  6]  94.00-95.00  sec  0.00 Bytes  0.00 bits/sec  550   4.48 MBytes       
[  6]  95.00-96.00  sec  0.00 Bytes  0.00 bits/sec  381   4.42 MBytes       
[  6]  96.00-97.00  sec  42.0 MBytes   352 Mbits/sec    0   4.42 MBytes       
[  6]  97.00-98.00  sec  0.00 Bytes  0.00 bits/sec    0   4.49 MBytes       
[  6]  98.00-99.00  sec  0.00 Bytes  0.00 bits/sec    0   4.68 MBytes       
[  6]  99.00-100.00 sec  0.00 Bytes  0.00 bits/sec    0   4.81 MBytes       
[  6] 100.00-101.00 sec  0.00 Bytes  0.00 bits/sec    0   4.81 MBytes       
[  6] 101.00-102.00 sec  0.00 Bytes  0.00 bits/sec    0   4.81 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  6]   0.00-102.07 sec   375 MBytes  30.8 Mbits/sec  2647            sender
[  6]   0.00-102.07 sec  0.00 Bytes  0.00 bits/sec                  receiver
iperf3: interrupt - the client has terminated by signal Interrupt(2)
Connecting to host 192.168.3.2, port 10021
[  6] local 192.168.2.2 port 37964 connected to 192.168.3.2 port 10021
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  6]   0.00-1.00   sec   124 MBytes  1.03 Gbits/sec    0    173 KBytes       
[  6]   1.00-2.00   sec  0.00 Bytes  0.00 bits/sec    0    290 KBytes       
[  6]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    0    428 KBytes       
[  6]   3.00-4.00   sec  0.00 Bytes  0.00 bits/sec    0    564 KBytes       
[  6]   4.00-5.00   sec  0.00 Bytes  0.00 bits/sec    0    700 KBytes       
[  6]   5.00-6.00   sec  0.00 Bytes  0.00 bits/sec    0    825 KBytes       
[  6]   6.00-7.00   sec  0.00 Bytes  0.00 bits/sec    0    966 KBytes       
[  6]   7.00-8.00   sec  0.00 Bytes  0.00 bits/sec    0   1.08 MBytes       
[  6]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    0   1.21 MBytes       
[  6]   9.00-10.00  sec  0.00 Bytes  0.00 bits/sec    0   1.35 MBytes       
[  6]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    0   1.48 MBytes       
