rlcThroughputDl:vector ExtClientServerExample.ue.cellularNic.nrRlc.um (#0 - test-0-20250830-13:43:36-16472),
0.929,1318752.421959099821
0.929,1320359.52637240011
0.93,1320545.161290300075
0.931,1320730.397422099948
0.931,1322334.049409199968
0.932,1322517.167382000011
0.932,1324119.098712400063
0.933,1324300.107181099706
0.934,1324480.72805139981
0.934,1326079.229122099928
0.935,1326257.754010699687
0.935,1327854.545454499775
0.936,1328030.982905999755
0.937,1328207.043756699652
0.937,1329800.426894299682
0.938,1329974.413646100085
0.938,1331566.09808099968
0.939,1331738.01916929986
0.94,1331909.574468099975
0.94,1333497.87234039977
0.941,1333667.375132800078
0.942,1333836.518046699926
0.942,1335421.443736699872
0.943,1335588.547189800066
0.943,1337171.792152700012
0.944,1337336.864406799895
0.945,1337501.587301599788
0.945,1339081.481481499968
0.946,1339244.186046499756
0.946,1340822.410147999876
0.947,1340983.10454070009
0.948,1341143.459915599782
0.948,1342718.354430399832
0.949,1342876.712328799997
0.949,1344449.94731299998
0.95,1344606.315789499782
0.951,1344762.35541539965
0.951,1346332.281808599828
0.952,1346486.344537799708
0.952,1348054.621848700098
0.953,1348206.715634800025
0.954,1348358.490565999875
0.954,1349923.480083900035
0.955,1350073.298429300075
0.955,1351636.649214699862
0.956,1351784.51882850006
0.957,1351932.079414799806
0.957,1353492.163009400011
0.958,1353637.787056399972
0.959,1353783.107403500001
0.959,1355339.937434799966
0.96,1355483.333333299957
0.96,1357038.541666700036
0.961,1357180.020811699793
0.962,1357321.205821199806
0.962,1358873.180873199828
0.963,1359012.46105920011
0.963,1360562.824506700036
0.964,1360700.207468899895
0.965,1360837.305699499786
0.965,1362384.455958500036
0.966,1362519.668737099968
0.966,1364065.217391300011
0.967,1364198.552223399743
0.968,1364331.611570199947
0.968,1365873.966942099852
0.969,1366005.159958699716
0.969,1367545.923632599876
0.97,1367675.257731999733
0.971,1367804.325437699907
0.971,1369341.915550999806
0.972,1369469.135802499947
0.972,1371005.144032899751
0.973,1371130.524152100083
0.974,1371255.646817199882
0.974,1372788.501026699782
0.975,1372911.79487180011
0.975,1374443.076923099808
0.976,1374564.549180299972
0.977,1374685.772773799948
0.977,1376213.920163800006
0.978,1376333.333333299957
0.979,1376452.502553599882
0.979,1377977.528089900031
0.98,1378094.897959199731
0.98,1379618.367346900046
0.981,1379733.94495410006
0.982,1379849.287168999663
0.982,1381369.653767799956
0.983,1381483.214648999736
0.983,1383002.034587999801
0.984,1383113.821138199882
0.985,1383225.380710700057
0.985,1384741.116751299701
0.986,1384850.912778900001
0.986,1386365.111561900001
0.987,1386473.150962499898
0.988,1386580.971659899687
0.988,1388092.105263199653
0.989,1388198.179979799776
0.989,1389707.785642100028
0.99,1389812.121212099676
0.991,1389916.246215899937
0.991,1391422.805247199718
0.992,1391525.201612900008
0.992,1393030.241935499941
0.993,1393130.916414899747
0.994,1393231.388329999985
0.994,1394733.400402399707
0.995,1394832.160803999747
0.996,1394930.722891599868
0.996,1396429.718875499903
0.997,1396526.579739199947
0.997,1398024.072216699828
0.998,1398119.238477000032
0.999,1398214.214214199685
0.999,1399708.70870869979
1,1399802
1,1401295
1.001,1401386.613386599808
1.002,1401478.043912199787
1.002,1402968.063872300085
1.003,1403057.826520399652
1.003,1404546.360917199865
1.004,1404634.46215139981
1.005,1404722.388059699903
1.005,1406207.960198999843
1.006,1406294.23459240002
1.006,1407778.330019900106
1.007,1407862.95928499987
1.008,1407947.42063489975
1.008,1409428.571428599762
1.009,1409511.39742319984
1.009,1410991.08027749974
1.01,1411072.277227699755
1.011,1411153.313550899732
1.011,1412630.069238400083
1.012,1412709.486165999896
1.013,1412788.746298099863
1.013,1414262.586377100085
1.014,1414340.236686399668
1.014,1415812.62327419966
1.015,1415888.669950699896
1.016,1415964.566929100078
1.016,1417434.055118099782
1.017,1417508.357915400057
1.017,1418976.401179899922
1.018,1419049.115913599726
1.019,1419121.687929299657
1.019,1420586.849852799898
1.02,1420657.843137300103
1.02,1422121.568627499972
1.021,1422190.989226199683
1.022,1422260.273972599762
1.022,1423721.135029399765
1.023,1423788.856304999903
1.023,1425248.289345100051
1.024,1425314.453125
1.025,1425380.487804899921
1.025,1426837.073170700106
1.026,1426901.559454199855
1.026,1428356.725146200038
1.027,1428419.668938700106
