SduBuffer:vector ExtClientServerExample.gnb.cellularNic.rlc.UmTxEntity Lcid: 1 (#0 - test-0-20250824-22:30:48-60671),
0.6876116558,11
0.688,10
0.689,9
0.689,8
0.6895441528,9
0.69,8
0.69,7
0.6904225398,8
0.6909565988,9
0.691,8
0.6916181178,9
0.692,8
0.692,7
0.6922974118,8
0.6927493298,9
0.693,8
0.693,7
0.6934366248,8
0.6939835328,9
0.694,8
0.695,7
0.695,6
0.696,5
0.696,4
0.697,3
0.6973618068,4
0.6977991908,5
0.698,4
0.698,3
0.6983273098,4
0.6987220498,5
0.699,4
0.699,3
0.6996755938,4
0.7,3
0.7002487728,4
0.7006194998,5
0.7009552898,6
0.701,5
0.701,4
0.7015308698,5
0.7018952758,6
0.702,5
0.702,4
0.7024407738,5
0.7027925848,6
0.703,5
0.7033110348,6
0.7036488128,7
0.7039654098,8
0.704,7
0.704,6
0.7044707708,7
0.7048200398,8
0.705,7
0.706,6
0.706,5
0.7063958458,6
0.7067636658,7
0.707,6
0.707,5
0.7073228618,6
0.7077015438,7
0.708,6
0.7082344768,7
0.7085884828,8
0.7089176958,9
0.709,8
0.709,7
0.7094155278,8
0.7097818258,9
0.71,8
0.71,7
0.7106035108,8
0.7109504708,9
0.711,8
0.7115153878,9
0.7118728398,10
0.712,9
0.712,8
0.7124261738,9
0.7127837408,10
0.713,9
0.713,8
0.7133378618,9
0.7136885838,10
0.714,9
0.7142191408,10
0.7145708538,11
0.7148977008,12
0.715,11
0.715,10
0.7154155308,11
0.7157579128,12
0.716,11
0.716,10
0.717,9
0.718,8
0.718,7
0.7185010128,8
0.7189101628,9
0.719,8
0.719,7
0.7195318498,8
0.7199040068,9
0.72,8
0.7205213528,9
0.7209349388,10
0.721,9
0.721,8
0.722,7
0.722,6
0.7227600378,7
0.723,6
0.7237751898,7
0.724,6
0.724,5
0.7247618228,6
0.725,5
0.7256322338,6
0.726,5
0.726,4
0.7263589098,5
0.7267880308,6
0.727,5
0.727,4
0.728,3
0.729,2
0.729,1
0.73,0
0.7304779118,1
0.7308956848,2
0.731,1
0.7314385908,2
0.7318275408,3
0.732,2
0.732,1
0.7327646218,2
0.733,1
0.7333481738,2
0.7337071278,3
0.734,2
0.734,1
0.7342502138,2
0.7346055828,3
0.7349455408,4
0.735,3
0.735,2
0.7354761808,3
0.7358249898,4
0.736,3
0.7363425728,4
0.7366826998,5
0.737,4
0.737,3
0.7372030068,4
0.7375452288,5
0.7378600928,6
0.738,5
0.738,4
0.739,3
0.7395060978,4
0.7398763318,5
0.74,4
0.74,3
0.7404075508,4
0.7407646998,5
0.741,4
0.741,3
0.7412874968,4
0.7416451178,5
0.7419668528,6
0.742,5
0.7424864558,6
